codigo_ibge,Nome_Município,Territórios de Desenvolvimento,Aglomerado,Gerência Regional de Ensino GRE,População em 2022 IBGE,Faixa populacional
2205516,Juazeiro do Piauí,Carnaubais,6,5ª,5214,5.001 a 10.000 de habitantes
2205524,Júlio Borges,Chapada das Mangabeiras,27,15ª,5388,5.001 a 10.000 de habitantes
2205532,Jurema,Serra da Capivara,19,13ª,4425,Menos de 5.000 habitantes
2205557,Lagoa Alegre,Entre Rios,7,18ª,8256,5.001 a 10.000 de habitantes
2205573,Lagoa de São Francisco,Cocais,4,12ª,6331,5.001 a 10.000 de habitantes
2205565,Lagoa do Barro do Piauí,Serra da Capivara,18,18ª,4995,Menos de 5.000 habitantes
2205581,Lagoa do Piauí,Entre Rios,8,3ª,4810,Menos de 5.000 habitantes
2205599,Lagoa do Sítio,Vale do Sambito,11,7ª,4520,Menos de 5.000 habitantes
2205540,Lagoinha do Piauí,Entre Rios,9,6ª,2939,Menos de 5.000 habitantes
2205607,Landri Sales,Tabuleiros do Alto Parnaíba,24,10ª,5213,5.001 a 10.000 de habitantes
2205706,Luís Correia,Planície Litorânea,1,1ª,30641,20.001 a 50.000 de habitantes
2205805,Luzilândia,Cocais,3,2ª,25375,20.001 a 50.000 de habitantes
2205854,Madeiro,Cocais,3,2ª,8032,5.001 a 10.000 de habitantes
2205904,Manoel Emídio,Chapada das Mangabeiras,26,10ª,5209,5.001 a 10.000 de habitantes
2205953,Marcolândia,Chapada Vale do Rio Itaim,13,16ª,8533,5.001 a 10.000 de habitantes
2206001,Marcos Parente,Tabuleiros do Alto Parnaíba,24,10ª,4724,Menos de 5.000 habitantes
2206050,Massapê do Piauí,Chapada Vale do Rio Itaim,13,9ª,5218,5.001 a 10.000 de habitantes
2206100,Matias Olímpio,Cocais,3,2ª,10641,10.001 a 20.000 de habitantes
2206209,Miguel Alves,Entre Rios,7,18ª,32150,20.001 a 50.000 de habitantes
